Team,Wins,Net_Rtg,Defensive_Rtg,Year,Unnamed: 4,Is_Champion
CLE,61,6.8,103.8,2010,,0
ORL,59,7.9,102.8,2010,,0
LAL,57,4.9,102.7,2010,,1
DAL,55,2.8,105.0,2010,,0
PHX,54,4.8,109.1,2010,,0
ATL,53,4.9,106.0,2010,,0
DEN,53,4.4,106.5,2010,,0
UTA,53,5.7,104.0,2010,,0
CHI,62,7.8,99.5,2011,,0
SAS,61,6.1,104.4,2011,,0
MIA,58,7.8,102.9,2011,,0
DAL,57,4.4,104.1,2011,,1
LAL,57,6.3,103.3,2011,,0
BOS,56,5.7,99.8,2011,,0
OKC,55,3.9,105.9,2011,,0
ORL,52,5.6,101.8,2011,,0
CHI,50,8.8,97.5,2012,,0
SAS,50,7.7,102.3,2012,,0
OKC,47,6.3,102.1,2012,,0
MIA,46,6.4,99.2,2012,,1
IND,42,3.3,102.1,2012,,0
LAL,41,1.3,103.2,2012,,0
MEM,41,2.2,100.6,2012,,0
ATL,40,3.8,100.4,2012,,0
MIA,66,8.2,103.2,2013,,1
OKC,60,9.9,101.2,2013,,0
SAS,58,6.7,100.3,2013,,0
DEN,57,5.1,104.2,2013,,0
LAC,56,6.9,102.8,2013,,0
MEM,56,4.5,99.1,2013,,0
NYK,54,4.5,105.4,2013,,0
BKN,49,2.0,104.8,2013,,0
SAS,62,8.1,101.4,2014,,1
OKC,59,6.4,103.0,2014,,0
LAC,57,7.3,104.0,2014,,0
IND,56,4.7,98.9,2014,,0
HOU,54,4.6,105.2,2014,,0
MIA,54,5.1,105.0,2014,,0
POR,54,4.2,106.2,2014,,0
GSW,51,4.9,101.4,2014,,0
GSW,67,9.9,100.4,2015,,1
ATL,60,5.9,102.3,2015,,0
HOU,56,3.4,102.6,2015,,0
LAC,56,6.9,104.7,2015,,0
MEM,55,3.5,101.2,2015,,0
SAS,55,6.3,101.4,2015,,0
CLE,53,4.8,105.3,2015,,0
POR,51,4.3,102.8,2015,,0
GSW,73,10.6,102.8,2016,,0
SAS,67,11.1,98.2,2016,,0
CLE,57,6.3,103.9,2016,,1
TOR,56,4.4,104.8,2016,,0
OKC,55,7.4,104.8,2016,,0
LAC,53,4.5,102.7,2016,,0
ATL,48,3.9,100.8,2016,,0
BOS,48,3.3,102.5,2016,,0
GSW,67,11.4,103.4,2017,,1
SAS,61,7.4,102.9,2017,,0
HOU,55,5.7,108.4,2017,,0
BOS,53,2.6,108.0,2017,,0
CLE,51,3.1,109.7,2017,,0
LAC,51,4.4,107.5,2017,,0
TOR,51,4.3,107.1,2017,,0
UTA,51,4.3,104.7,2017,,0
HOU,65,8.4,105.7,2018,,0
TOR,59,7.7,105.3,2018,,0
GSW,58,5.9,106.8,2018,,1
BOS,55,3.6,103.2,2018,,0
PHI,52,4.6,103.9,2018,,0
CLE,50,1.0,111.1,2018,,0
POR,49,2.7,105.7,2018,,0
IND,48,1.3,107.3,2018,,0
MIL,60,8.6,104.9,2019,,0
TOR,58,5.8,106.8,2019,,1
GSW,57,6.5,108.6,2019,,0
DEN,54,4.0,108.1,2019,,0
HOU,53,4.8,110.1,2019,,0
POR,53,4.2,109.5,2019,,0
PHI,51,2.6,109.0,2019,,0
UTA,50,5.0,105.3,2019,,0
MIL,56,9.4,102.5,2020,,0
TOR,53,6.1,104.7,2020,,0
LAL,52,5.6,106.1,2020,,1
LAC,49,6.3,106.9,2020,,0
BOS,48,6.3,106.5,2020,,0
DEN,46,2.2,110.4,2020,,0
IND,45,1.9,107.5,2020,,0
HOU,44,2.7,109.8,2020,,0
UTA,52,9.0,107.5,2021,,0
PHX,51,5.9,110.4,2021,,0
PHI,49,5.5,107.0,2021,,0
BKN,48,4.2,113.1,2021,,0
DEN,47,4.8,111.5,2021,,0
LAC,47,6.1,110.6,2021,,0
MIL,46,5.8,110.7,2021,,1
DAL,42,2.3,112.3,2021,,0
PHX,64,7.5,106.8,2022,,0
MEM,56,5.3,108.9,2022,,0
GSW,53,5.5,106.6,2022,,1
MIA,53,4.5,108.4,2022,,0
DAL,52,3.5,109.1,2022,,0
BOS,51,7.4,106.2,2022,,0
MIL,51,3.2,111.1,2022,,0
PHI,51,2.8,110.2,2022,,0
MIL,58,3.4,110.9,2023,,0
BOS,57,6.7,110.6,2023,,0
PHI,54,4.4,112.7,2023,,0
DEN,53,3.3,113.5,2023,,1
CLE,51,5.6,109.9,2023,,0
MEM,51,4.0,110.7,2023,,0
SAC,48,2.6,116.0,2023,,0
NYK,47,2.8,114.2,2023,,0
BOS,64,11.7,110.6,2024,,1
DEN,57,5.5,112.3,2024,,0
OKC,57,7.3,111.0,2024,,0
MIN,56,6.3,108.4,2024,,0
LAC,51,3.4,114.6,2024,,0
DAL,50,2.1,114.9,2024,,0
NYK,50,4.9,112.4,2024,,0
MIL,49,2.6,115.0,2024,,0
